w_CE_row,T_CE_col,V_CE_map,p_me_col,p_me_max,w_CE_max,w_CE_max_fine,T_CE_max,eta_CE_map,H_u,rho_f
,,0.00017231515606349124,,,,,,0.13596664960170332,,
,,0.00018584892127020838,,,,,,0.12958669509194393,,
,,0.0002084051966147369,,,,,,0.12363558033459084,,
,,0.000253517747303794,,,,,,0.11825926562974515,,
,,0.00029863029799285113,,,,,,0.11283791290218191,,
,,0.0003437428486819082,,,,,,0.10673041789570538,,
,,0.00043396795006002235,,,,,,0.09960156145662888,,
,,0.0005241930514381365,,,,,,0.09142936438859545,,
,,0.0006144181528162505,,,,,,0.08247411014868485,,
,,0.0007046432541943648,,,,,,0.0731818305045089,,
,,0.0007948683555724791,,,,,,0.18745885299850074,,
,,0.0008850934569505931,,,,,,0.19086269440758635,,
,,0.0009753185583287074,,,,,,0.19032682574648674,,
,,0.0010655436597068212,,,,,,0.1867605053321367,,
,,0.0011557687610849355,,,,,,0.18122916917666504,,
,,0.00022340658134338033,,,,,,0.17469723941924,,
,,0.00022340658134338033,,,,,,0.16791134092224974,,
,,0.00023947130473040993,,,,,,0.16139142626587902,,
,,0.0002662458437087924,,,,,,0.15533589782035379,,
,,0.00031979492166555744,,,,,,0.14907724251622842,,
,,0.0003733439996223224,,,,,,0.141889017081482,,
,,0.0004268930775790874,,,,,,0.1333646901517934,,
,,0.0005339912334926174,,,,,,0.1234427614622183,,
,,0.0006410893894061473,,,,,,0.1123921744234206,,
,,0.0007481875453196773,,,,,,0.10072325281076444,,
,,0.0008552857012332074,,,,,,0.21402334236514212,,
,,0.0009623838571467373,,,,,,0.21789871397296867,,
,,0.0010694820130602673,,,,,,0.21794626423069935,,
,,0.0011765801689737972,,,,,,0.21496991011623753,,
,,0.0012836783248873272,,,,,,0.20992638733189067,,
,,0.0013907764808008568,,,,,,0.20371116957477256,,
,,0.00028124011847800446,,,,,,0.1970495761907926,,
,,0.00028124011847800446,,,,,,0.19047507503087935,,
,,0.00029980885017849796,,,,,,0.1842131396455237,,
,,0.0003307567363459871,,,,,,0.17759581965498195,,
,,0.00039265250868096547,,,,,,0.16986746073648437,,
,,0.0004545482810159437,,,,,,0.16058186468245653,,
,,0.000516444053350922,,,,,,0.14964060327757114,,
,,0.0006402355980208787,,,,,,0.13729443623976315,,
,,0.0007640271426908351,,,,,,0.12406956972927,,
,,0.0008878186873607918,,,,,,0.24935970017243367,,
,,0.0010116102320307484,,,,,,0.2538581442667171,,
,,0.0011354017767007047,,,,,,0.25494245437958674,,
,,0.0012591933213706615,,,,,,0.253217346998793,,
,,0.0013829848660406182,,,,,,0.24942174088542193,,
,,0.0015067764107105747,,,,,,0.24428178590560784,,
,,0.0016305679553805315,,,,,,0.23842414141052404,,
,,0.00034490444691007426,,,,,,0.2323449505992176,,
,,0.00034490444691007426,,,,,,0.2262788040245613,,
,,0.00036598949956308333,,,,,,0.21960673663463404,,
,,0.0004011312539847653,,,,,,0.211589901736235,,
,,0.0004714147628281292,,,,,,0.2017564942717308,,
,,0.0005416982716714932,,,,,,0.1899538748402994,,
,,0.0006119817805148569,,,,,,0.1763725641666292,,
,,0.0007525487982015848,,,,,,0.1615040773308038,,
,,0.0008931158158883125,,,,,,0.2717972654309096,,
,,0.0010336828335750406,,,,,,0.2766888764554075,,
,,0.0011742498512617681,,,,,,0.2785874433487808,,
,,0.0013148168689484962,,,,,,0.2779431647797644,,
,,0.0014553838866352236,,,,,,0.27532106424147024,,
,,0.0015959509043219511,,,,,,0.27129723110084636,,
,,0.001736517922008679,,,,,,0.26639127369388155,,
,,0.001877084939695407,,,,,,0.26103507179560614,,
,,0.0004134922636657712,,,,,,0.2554446034233445,,
,,0.0004134922636657712,,,,,,0.24906538374510145,,
,,0.00043714853999429927,,,,,,0.24121298053251533,,
,,0.0004765756672085128,,,,,,0.23142639544119006,,
,,0.0005554299216369397,,,,,,0.21952379878109082,,
,,0.0006342841760653665,,,,,,0.20563793648917225,,
,,0.0007131384304937935,,,,,,0.19019744565989516,,
,,0.0008708469393506473,,,,,,0.28730860652687007,,
,,0.0010285554482075013,,,,,,0.29247089860395925,,
,,0.0011862639570643552,,,,,,0.29500376137778045,,
,,0.0013439724659212089,,,,,,0.2952407195977567,,
,,0.001501680974778063,,,,,,0.29361394216711195,,
,,0.001659389483634917,,,,,,0.2905785075580664,,
,,0.0018170979924917706,,,,,,0.28655930340228064,,
,,0.001974806501348625,,,,,,0.28192224871807425,,
,,0.002132515010205478,,,,,,0.27685547660118265,,
,,0.0004898898301592204,,,,,,0.27086622459379167,,
,,0.0004898898301592204,,,,,,0.26333334971131794,,
,,0.0005161925816863305,,,,,,0.253822356228742,,
,,0.0005600305008981809,,,,,,0.24214001030192467,,
,,0.0006477063393218811,,,,,,0.22837432908326713,,
,,0.0007353821777455816,,,,,,0.2128912382117754,,
,,0.000823058016169282,,,,,,0.2986719856184915,,
,,0.0009984096930166831,,,,,,0.3040319937985978,,
,,0.001173761369864084,,,,,,0.30706677412419675,,
,,0.0013491130467114846,,,,,,0.30802030623589033,,
,,0.0015244647235588857,,,,,,0.30722224600362674,,
,,0.0016998164004062863,,,,,,0.3050310135839563,,
,,0.0018751680772536867,,,,,,0.30179137759836655,,
,,0.002050519754101088,,,,,,0.2978087042613035,,
,,0.002225871430948489,,,,,,0.29324143004618153,,
,,0.002401223107795889,,,,,,0.28765177851530815,,
,,0.0005799375859993489,,,,,,0.28048096913370224,,
,,0.0005799375859993489,,,,,,0.27132722767315587,,
,,0.0006089670289376064,,,,,,0.2599973124758476,,
,,0.0006573494338347022,,,,,,0.24654736246321596,,
,,0.000754114243628894,,,,,,0.23128905193617333,,
,,0.000850879053423086,,,,,,0.30735501205862764,,
,,0.0009476438632172776,,,,,,0.312865768745778,,
,,0.0011411734828056614,,,,,,0.31630538736802294,,
,,0.0013347031023940449,,,,,,0.3178475419465576,,
,,0.0015282327219824287,,,,,,0.3177412065932351,,
,,0.0017217623415708124,,,,,,0.3162668473179999,,
,,0.0019152919611591962,,,,,,0.3137019808720798,,
,,0.0021088215807475792,,,,,,0.31029831917970807,,
,,0.0023023512003359633,,,,,,0.30618563477435917,,
,,0.0024958808199243465,,,,,,0.3009741642661365,,
,,0.0026894104395127297,,,,,,0.29416324506699054,,
,,0.0006913949045038212,,,,,,0.2853855330342191,,
,,0.0006913949045038212,,,,,,0.2744547739907724,,
,,0.0007232284301277884,,,,,,0.2614055889045429,,
,,0.0007762843061677337,,,,,,0.24650526547015997,,
,,0.0008823960582476237,,,,,,0.31420598659068744,,
,,0.0009885078103275139,,,,,,0.31983548261934575,,
,,0.001094619562407404,,,,,,0.32360759072926526,,
,,0.0013068430665671845,,,,,,0.32563956913890796,,
,,0.001519066570726965,,,,,,0.3261155930067793,,
,,0.0017312900748867452,,,,,,0.32525236349948594,,
,,0.0019435135790465254,,,,,,0.3232707166149216,,
,,0.002155737083206306,,,,,,0.3203753363811011,,
,,0.002367960587366086,,,,,,0.31666940300326846,,
,,0.0025801840915258664,,,,,,0.31180493050898245,,
,,0.0027924075956856464,,,,,,0.3053342363276952,,
,,0.0030046310998454273,,,,,,0.2969239460945481,,
,,0.0008339941210070813,,,,,,0.28639894071264843,,
,,0.0008339941210070813,,,,,,0.2737801508417688,,
,,0.00086869772311833,,,,,,0.2592995047585092,,
,,0.000926537059970411,,,,,,0.31974940070446456,,
,,0.001042215733674573,,,,,,0.3254748431137438,,
,,0.0011578944073787354,,,,,,0.329524439859944,,
,,0.0012735730810828972,,,,,,0.3319692971953603,,
,,0.0015049304284912217,,,,,,0.3329405782391622,,
,,0.0017362877758995456,,,,,,0.3326020672844267,,
,,0.0019676451233078696,,,,,,0.3311264494070714,,
,,0.0021990024707161946,,,,,,0.3286772410131266,,
,,0.0024303598181245178,,,,,,0.32533336904053606,,
,,0.002661717165532842,,,,,,0.3207832951659115,,
,,0.002893074512941166,,,,,,0.31462721897807666,,
,,0.0031244318603494904,,,,,,0.3065642601315179,,
,,0.0033557892077578145,,,,,,0.29643277244839467,,
,,0.0010194081820679754,,,,,,0.28424575947499653,,
,,0.0010194081820679754,,,,,,0.2702074020768366,,
,,0.0010570269293709719,,,,,,0.3243269806068277,,
,,0.0011197248415426326,,,,,,0.3301315644690446,,
,,0.0012451206658859544,,,,,,0.33441601638037405,,
,,0.0013705164902292762,,,,,,0.3372130503708817,,
,,0.0014959123145725979,,,,,,0.3386097497629537,,
,,0.0017467039632592413,,,,,,0.3387253894960135,,
,,0.0019974956119458848,,,,,,0.3376913824628542,,
,,0.002248287260632528,,,,,,0.3356351065650445,,
,,0.0024990789093191712,,,,,,0.33261352237150477,,
,,0.0027498705580058153,,,,,,0.32834704864984116,,
,,0.0030006622066924586,,,,,,0.3224790531707171,,
,,0.003251453855379102,,,,,,0.31473924279688753,,
,,0.0035022455040657446,,,,,,0.3049806375838233,,
,,0.003753037152752388,,,,,,0.2932125084534174,,
,,0.001261067307199458,,,,,,0.2796174898294009,,
,,0.001261067307199458,,,,,,0.3281709162546418,,
,,0.0013016149443991932,,,,,,0.33404189609011387,,
,,0.001369194339732085,,,,,,0.3385275616716477,,
,,0.0015043531303978682,,,,,,0.3416282250561436,,
,,0.0016395119210636515,,,,,,0.343393793408771,,
,,0.0017746707117294346,,,,,,0.3439056464113743,,
,,0.002044988293061002,,,,,,0.34325950554092516,,
,,0.002315305874392569,,,,,,0.34155088138423606,,
,,0.0025856234557241355,,,,,,0.33881687941210115,,
,,0.002855941037055702,,,,,,0.3348061010734143,,
,,0.003126258618387268,,,,,,0.32920085346295513,,
,,0.0033965761997188353,,,,,,0.3217593925326642,,
,,0.0036668937810504015,,,,,,0.3123498760050561,,
,,0.0039372113623819685,,,,,,0.300980875604998,,
,,0.004207528943713535,,,,,,0.2878184535590911,,
