region,SoC,T_MGB,w_MGB,dw_MGB,v,v_next,gear,actor_mu,actor_sigma,a_sac,a_argmaxQ,a_argmaxR,a_ecms,u_ecms,mode_sac,mode_argmaxQ,mode_ecms,r_OFF,r_ASSIST,r_LPS,Q_OFF,Q_ASSIST,Q_LPS,dr_OFF_ASSIST,dQ_OFF_ASSIST,dr_OFF_LPS,dQ_OFF_LPS,eq_eff_ecms_units,t_ce_sac,t_em_sac,p_batt_sac,next_soc_sac,t_ce_ecms,t_em_ecms,p_batt_ecms,next_soc_ecms,ERROR_critic,ERROR_reward,dSoC_ecms_minus_sac,discharge_ecms_minus_sac
15-30,0.43713374176135494,18.235650246706797,231.4994883179665,0.0,16.08333396911621,15.916666984558105,3,1.0947484970092773,0.40440040826797485,0.7986047291172946,1.0,0.20000000000000018,0.26,0.7456250000000001,OFF,OFF,OFF,-0.02444711446379554,-0.040680109696408125,-0.032154368467191725,-0.05669400095939636,-0.07740955054759979,-0.07521979510784149,0.016232995232612586,0.02071554958820343,0.007707254003396186,0.01852579414844513,3.1655228073126755,1.25,16.985650246706797,4543.5591486942085,0.43437143167132763,4.6875,13.548150246706797,3671.6969188205917,0.4349027046278055,-0.008888758718967438,0.004950032231065337,0.0005312729564778684,-871.8622298736168
15-30,0.4291417806522667,17.903254183318044,226.30173763632777,0.0,15.722222328186035,15.722222328186035,3,1.0082136392593384,0.44898489117622375,0.7650221529109957,0.5250000000000001,0.20000000000000018,0.20500000000000007,0.7225,OFF,OFF,OFF,-0.02413690388352613,-0.03956853721401484,-0.030859908648365814,-0.05196531116962433,-0.07324162125587463,-0.06551147997379303,0.015431633330488713,0.021276310086250305,0.006723004764839686,0.013546168804168701,3.2620437196174112,1.40625,16.497004183318044,4327.939149649265,0.4265036963944532,4.999999999999998,12.903254183318046,3434.769088779006,0.42704929837247146,-0.011917799711227417,0.005185073368715966,0.0005456019780182841,-893.1700608702595
15-30,0.4228454314749153,17.903254183318044,226.30173763632777,0.0,15.722222328186035,15.63888931274414,3,0.9399008750915527,0.49118199944496155,0.7351767068320637,0.5250000000000001,0.20000000000000018,0.20500000000000007,0.7225,OFF,OFF,OFF,-0.024660120925985737,-0.03980060687952501,-0.030678184703874564,-0.05358978360891342,-0.07534298300743103,-0.06576782464981079,0.015140485953539274,0.02175319939851761,0.006018063777888827,0.01217804104089737,3.338086302719579,1.71875,16.184504183318044,4249.697562296481,0.42024955661057306,4.999999999999998,12.903254183318046,3434.769088779006,0.42074842213488584,-0.012710027396678925,0.005012927956826004,0.0004988655243127749,-814.9284735174751
15-30,0.41440506087845375,29.49389950915303,227.30129979550844,1.9991243183612828,15.86111068725586,15.722222328186035,3,-0.9704575538635254,0.6044872999191284,-0.7489052864332578,-0.8,-1.0,0.345,0.86125,LPS,LPS,OFF,-0.04427813420646964,-0.05418501320853394,-0.03818876838457169,-0.08156492561101913,-0.09872552007436752,-0.07823392748832703,0.0099068790020643,0.01716059446334839,-0.006089365821897945,-0.003330998122692108,3.440022768505694,45.61020888379737,-16.116309374644338,-3116.9136320128114,0.4163056966929192,4.0625,25.43139950915303,6666.093797852192,0.4103150287871159,-0.02180391550064087,-0.0050680631524106096,-0.005990667905803326,9783.007429865003
15-30,0.4030460312474604,19.995851791523638,222.9032125681639,0.3998248636722565,15.5,14.972222328186035,3,-0.10649383068084717,0.8346081376075745,-0.10609306868408128,1.0,0.2250000000000001,0.26,0.7687499999999999,ASSIST,OFF,OFF,-0.029334846981454124,-0.04238522697440979,-0.0309121093874459,-0.0518663227558136,-0.07460182905197144,-0.054812952876091,0.013050379992955663,0.022735506296157837,0.0015772624059917743,0.002946630120277405,3.5772086091166084,13.997511074914181,5.998340716609457,1668.6380803102545,0.40202146227897956,4.687499999999998,15.30835179152364,3985.7044102333166,0.4005951322075379,0.001787528395652771,0.014775122590191626,-0.0014263300714416616,2317.066329923062
15-30,0.4096114150690796,18.049716687578663,167.5796171411872,15.564682013789813,4.69444465637207,5.333333492279053,1,-1.4565027952194214,0.781095027923584,-0.8969712355003221,0.5750000000000002,-1.0,0.7350000000000001,0.9075000000000001,LPS,OFF,OFF,-0.038082156529466935,-0.0317613737549633,-0.024300189396432376,-0.06942276656627655,-0.07377205789089203,-0.0847741961479187,-0.006320782774503632,0.0043492913246154785,-0.013781967133034558,0.015351429581642151,3.4979168273569585,31.2002245599574,-13.15050787237874,-1616.7496126261838,0.410599827736185,1.71875,16.330966687578663,3534.2557049169422,0.40744367279090254,0.005363546311855316,5.868203962231325e-05,-0.00315615494528243,5151.005317543126
15-30,0.3980507610114394,28.869518149005565,229.38611459732056,7.920381991068522,10.63888931274414,10.94444465637207,2,-1.293581485748291,0.8731251358985901,-0.8600616537297652,-1.0,-1.0,0.4650000000000001,0.884375,LPS,LPS,OFF,-0.05338166067225908,-0.06104989076195118,-0.03987740117120309,-0.11947539448738098,-0.13362470269203186,-0.11328981071710587,0.007668230089692099,0.014149308204650879,-0.013504259501055986,-0.006185583770275116,3.6375377365745933,48.150232055662855,-19.280713906657287,-3683.30100562824,0.400308585884725,3.28125,25.588268149005565,6917.322925732872,0.39378173843964664,-0.0156499445438385,-0.016183404238799222,-0.006526847445078365,10600.623931361111
15-30,0.38222600967005294,21.548720169571748,165.3282125681639,1.1994745910167695,11.527777671813965,11.61111068725586,3,-0.7484617233276367,0.7884484529495239,-0.6342303415651567,0.55,-1.0,0.28,0.791875,LPS,OFF,OFF,-0.09986374957487289,-0.10475803616923364,-0.09269253440180457,-0.08259440958499908,-0.09275642037391663,-0.09929139912128448,0.004894286594360753,0.010162010788917542,-0.007171215173068318,0.0166969895362854,3.828657214712353,30.052768665063454,-8.504048495491707,-1128.9710232119232,0.38292297747874104,4.5312499999999964,17.01747016957175,3347.825676039032,0.3801532656036696,0.009841591119766235,-0.004109742493428992,-0.0027697118750714678,4476.7966992509555
15-30,0.39063735599351745,24.364316690653645,255.26058730905257,22.82818484952053,7.138888835906982,7.611111164093018,1,-2.004796266555786,0.5992026329040527,-0.9643648781016877,-1.0,-1.0,1.0,1.0,LPS,LPS,OFF,-0.1618987043226953,-0.1435232375492203,-0.12273038895476765,-0.18101367354393005,-0.18352010846138,-0.1584969460964203,-0.018375466773474985,0.002506434917449951,-0.03916831536792764,-0.022516727447509766,3.727071282327291,44.3343548353144,-19.970038144660755,-3949.5537849020693,0.39306416096070956,0.0,24.364316690653645,7692.373088991164,0.3858753348998026,-0.035501912236213684,-0.017084962453144045,-0.007188826060906983,11641.926873893233
15-30,0.3706318653774776,25.200916214878735,184.91018053690593,6.701847203572592,8.583333015441895,9.027777671813965,2,-1.5248674154281616,0.5648229122161865,-0.909542154054848,-0.875,-1.0,0.43999999999999995,0.86125,LPS,LPS,OFF,-0.07052492121951824,-0.07451304017908328,-0.05725017083320309,-0.12178943306207657,-0.12985143065452576,-0.11646915227174759,0.003988118959565037,0.008061997592449188,-0.013274750386315148,-0.0053202807903289795,3.9686825938698584,43.561583742861814,-18.36066752798308,-2790.767833265127,0.3723598327940149,3.4374999999999964,21.76341621487874,4832.597852777873,0.3676247990221697,-0.018434852361679077,-0.016389542073003152,-0.0047350337718451985,7623.365686043
